state_fips,state_abbr,zcta,house_district
04,AZ,85545,01
04,AZ,85545,04
04,AZ,85546,01
04,AZ,85550,01
04,AZ,85551,01
04,AZ,85552,01
04,AZ,85553,01
04,AZ,85553,04
04,AZ,85554,01
04,AZ,85554,04
04,AZ,85601,03
04,AZ,85602,02
04,AZ,85603,02
04,AZ,85605,02
04,AZ,85606,02
04,AZ,85607,02
04,AZ,85608,02
04,AZ,85609,02
04,AZ,85610,02
04,AZ,85611,02
04,AZ,85611,03
04,AZ,85613,02
04,AZ,85614,02
04,AZ,85615,02
04,AZ,85616,02
04,AZ,85617,02
04,AZ,85618,01
04,AZ,85619,01
